"","key.isin","key.date","val.s0","val.s1","val.s5","val.s10","val.s30","val.s60","val.s300","val.s600","val.s3600"
"X2009.03.02.15.16.58","DE0007664039","2009-03-02 15:16:58",1,1,1,1,1.0014400921659,1.00057603686636,0.997407834101383,0.998559907834101,1.00576036866359
"X2009.03.02.16.33.00","DE000A0F6MD5","2009-03-02 16:33:00",1,1,1,1,1,1.0075,1,0.995,0.96
"X2009.03.02.14.24.06","DE0007251803","2009-03-02 14:24:06",1,1,1,1,1,1.01089494163424,0.996108949416343,1.00856031128405,1.00077821011673
"X2009.03.02.21.23.30","DE0008303504","2009-03-02 21:23:30",1,1,1,1,1,1,1,1,1
"X2009.03.02.16.17.52","DE0005800809","2009-03-02 16:17:52",1,1,1,1,1,1,1,0.961619348054679,0.961619348054679
"X2009.03.02.16.27.55","DE0005800809","2009-03-02 16:27:55",1,1,1,1,1,1,1,1,1
"X2009.03.02.15.27.06","DK0010272632","2009-03-02 15:27:06",1,1,1,1,1,1,1,1,1.03448275862069
"X2009.03.03.13.22.51","DK0010272632","2009-03-03 13:22:51",1,1,1,1,1,1,0.983870967741935,0.983870967741935,0.983870967741935
"X2009.03.04.09.55.35","DK0010272632","2009-03-04 09:55:35",1,1,1,1,1,1.00549450549451,1.00549450549451,1.00549450549451,1.00549450549451
"X2009.03.02.09.14.40","NL0000233625","2009-03-02 09:14:40",1,1,1,1,1,1,1,1,1
"X2009.03.03.08.35.37","CH0006539198","2009-03-03 08:35:37",1,1,1,1,1,1,1,1,1.03
"X2009.03.02.15.31.47","DE0005407407","2009-03-02 15:31:47",1,1,1,1,1,1,1,1,1
"X2009.03.02.17.36.13","DE0006967805","2009-03-02 17:36:13",1,1,1,1,1,1,1,1,1
"X2009.03.02.17.14.29","DE0005256507","2009-03-02 17:14:29",1,1,1,1,1,1,1,1,1
"X2009.03.02.16.52.08","DE000A0AM9S2","2009-03-02 16:52:08",1,1,1,1,1,1,1,1,1
"X2009.03.03.11.14.50","DE0005239701","2009-03-03 11:14:50",1,1,1,1,1,1,1,1,0.944230769230769
"X2009.03.02.21.24.44","DE0005179006","2009-03-02 21:24:44",1,1,1,1,1,1,1,1,1
"X2009.03.03.13.17.35","DE0005489561","2009-03-03 13:17:35",1,1,1,1,1,1,1,1,1
"X2009.03.02.21.35.28","DE0005545503","2009-03-02 21:35:28",1,1,1,1,1,1,1,1,1
"X2009.03.03.17.06.35","DE000PET1111","2009-03-03 17:06:35",1,1,1,1,1,1,1,1,1
"X2009.03.04.09.29.41","CH0020609688","2009-03-04 09:29:41",1,1,1,1,1,1,1,1,1
